Имя ЛКД;Имя MDU (LKD);Область ЛКД;Город ЛКД;Улица ЛКД;Дом ЛКД;ID Дома;Подъезд(ЛКД);ID Подъезда;Количество этажей ЛКД;Квартира от (ЛКД);Квартира до ЛКД;Длина кабеля ЛКД;К-тво UTP/пар в ЛКД;Метод прокладки ЛКД;Дата акта ЛКД;Дилер зоны;СТАТУС ЛКД;ИФ Автора изменения;Дата изменения
LKD_ZAP_4827060_1;MDU_ZAP00024;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);40 років Перемоги;49;503503;;4827060;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4827062_1;MDU_ZAP00024;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);40 років Перемоги;49;503503;;4827062;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828058_1;MDU_ZAP00023;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Магістральна;76А;480240;;4828058;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828060_1;MDU_ZAP00023;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Магістральна;76А;480240;;4828060;5;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828144_1;MDU_ZAP00033;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Богдана Завади[Мікояна];12;481380;;4828144;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828146_1;MDU_ZAP00033;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Богдана Завади[Мікояна];12;481380;;4828146;9;;;;;;;"ТОВ  ""Нет-Строй Групп""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828162_1;MDU_ZAP00069;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Нижньодніпровська;4Г;483409;;4828162;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828164_1;MDU_ZAP00069;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Нижньодніпровська;4Г;483409;;4828164;5;;;;;;;"ТОВ ""АСТРА КОМ""";назначен в план;GIS;10.02.2017
LKD_na_4828208_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Павлокічкаська[Орджонікідзе];11А/15А;1103604;1;4828208;9;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4828210_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Павлокічкаська[Орджонікідзе];11А/15А;1103604;2;4828210;9;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4828212_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Павлокічкаська[Орджонікідзе];11А/15А;1103604;3;4828212;9;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4828214_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Павлокічкаська[Орджонікідзе];11А/15А;1103604;4;4828214;9;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4828216_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Павлокічкаська[Орджонікідзе];11А/15А;1103604;5;4828216;9;;;;;;;;назначен в план;GIS;10.02.2017
LKD_na_4828218_1;;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Павлокічкаська[Орджонікідзе];11А/15А;1103604;6;4828218;9;;;;;;;;назначен в план;GIS;10.02.2017
LKD_ZAP_4828604_1;MDU_ZAP00068;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Узбекистанська;3;496907;;4828604;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828606_1;MDU_ZAP00068;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Узбекистанська;3;496907;;4828606;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828608_1;MDU_ZAP00068;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Узбекистанська;3;496907;;4828608;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
LKD_ZAP_4828612_1;MDU_ZAP00068;Запорізька область;Запоріжжя м. (Запорізька область, обласного значення);Узбекистанська;9;496914;;4828612;9;;;;;;;"ТОВ ""ПРОВАЙД-ГРУПП""";назначен в план;GIS;10.02.2017
